Player,Pos,FG%,3P%,2P%,eFG%,PS/G
Drew Gooden,PF,0.399,0.39,0.401,0.44,5.4
Archie Goodwin,SG,0.393,0.293,0.419,0.423,5.6
Aaron Gordon,PF,0.447,0.271,0.5,0.478,5.2
Ben Gordon,SG,0.437,0.361,0.475,0.497,6.2
Drew Gordon,PF,0.421,0,0.5,0.421,1.9
Eric Gordon,SG,0.411,0.448,0.38,0.512,13.4
Marcin Gortat,C,0.566,0,0.569,0.566,12.2
Danny Granger,SF,0.401,0.357,0.449,0.494,6.3
Jerami Grant,SF,0.352,0.314,0.383,0.422,6.3
Danny Green,SG,0.436,0.418,0.466,0.566,11.7
Draymond Green,PF,0.443,0.337,0.523,0.516,11.7
Erick Green,PG,0.377,0.298,0.409,0.42,3.4
Gerald Green,SG,0.416,0.354,0.478,0.504,11.9
JaMychal Green,PF,0.574,0,0.659,0.574,2.6
Jeff Green,SF,0.43,0.332,0.473,0.48,15
Willie Green,SG,0.386,0.347,0.411,0.454,5.9
Blake Griffin,PF,0.502,0.4,0.504,0.506,21.9
Jorge Gutierrez,PG,0.537,0,0.579,0.537,2.7
P.J. Hairston,SG,0.323,0.301,0.358,0.414,5.6
Jordan Hamilton,SF,0.4,0.476,0.286,0.543,2.7
Justin Hamilton,C,0.478,0.323,0.51,0.506,5.3
Tyler Hansbrough,PF,0.521,0.143,0.538,0.524,3.6
Tim Hardaway,SG,0.389,0.342,0.435,0.474,11.5
James Harden,SG,0.44,0.375,0.48,0.511,27.4
Maurice Harkless,SF,0.399,0.179,0.52,0.43,3.5
Devin Harris,PG,0.418,0.357,0.481,0.509,8.8
Gary Harris,SG,0.304,0.204,0.395,0.353,3.4
Joe Harris,SG,0.4,0.369,0.472,0.529,2.7
Tobias Harris,SF,0.466,0.364,0.5,0.512,17.1
Udonis Haslem,PF,0.448,0.2,0.459,0.452,4.2
Spencer Hawes,PF,0.393,0.313,0.452,0.459,5.8
Chuck Hayes,C,0.478,,0.478,0.478,1.7
Gordon Hayward,SF,0.445,0.364,0.481,0.5,19.3
Brendan Haywood,C,0.467,,0.467,0.467,1.6
Gerald Henderson,SG,0.437,0.331,0.457,0.463,12.1
Xavier Henry,SF,0.231,,0.231,0.231,2.2
John Henson,C,0.566,,0.566,0.566,7
Roy Hibbert,C,0.446,0,0.448,0.446,10.6
J.J. Hickson,C,0.475,0,0.477,0.475,7.6
Nene Hilario,PF,0.511,0.2,0.513,0.512,11
George Hill,PG,0.477,0.358,0.544,0.541,16.1
Jordan Hill,C,0.459,0.273,0.462,0.461,12
Solomon Hill,SF,0.396,0.327,0.43,0.45,8.9
Kirk Hinrich,SG,0.373,0.345,0.394,0.449,5.7
Jrue Holiday,PG,0.446,0.378,0.469,0.493,14.8
Justin Holiday,SG,0.387,0.321,0.444,0.462,4.3
Ryan Hollins,C,0.646,,0.646,0.646,3
Rodney Hood,SG,0.414,0.365,0.456,0.497,8.7
Al Horford,C,0.538,0.306,0.547,0.544,15.2
Dwight Howard,C,0.593,0.5,0.594,0.595,15.8
Lester Hudson,SG,0.429,0.5,0.375,0.536,3.6
Robbie Hummel,SF,0.459,0.314,0.521,0.506,4.4
Kris Humphries,PF,0.473,0,0.481,0.473,8
Serge Ibaka,PF,0.476,0.376,0.511,0.525,14.3
Andre Iguodala,SF,0.466,0.349,0.553,0.54,7.8
Ersan Ilyasova,PF,0.472,0.389,0.515,0.539,11.5
Joe Ingles,SF,0.415,0.356,0.493,0.517,5
Kyrie Irving,PG,0.468,0.415,0.491,0.532,21.7
Jarrett Jack,PG,0.439,0.267,0.477,0.463,12
Reggie Jackson,PG,0.434,0.299,0.477,0.47,14.5
Bernard James,C,0.444,,0.444,0.444,2.8
LeBron James,SF,0.488,0.354,0.536,0.535,25.3
Al Jefferson,C,0.481,0.4,0.482,0.482,16.6
Cory Jefferson,PF,0.449,0.133,0.48,0.455,3.7
Richard Jefferson,SF,0.444,0.426,0.462,0.546,5.8
John Jenkins,SG,0.495,0.404,0.596,0.601,5.6
Brandon Jennings,PG,0.401,0.36,0.428,0.471,15.4
Jonas Jerebko,PF,0.446,0.386,0.481,0.517,6
Grant Jerrett,PF,0.269,0.067,0.545,0.288,2
Amir Johnson,PF,0.574,0.413,0.59,0.592,9.3
Chris Johnson,SF,0.403,0.295,0.576,0.494,5.7
James Johnson,PF,0.589,0.216,0.643,0.603,7.9
Joe Johnson,SG,0.435,0.359,0.472,0.494,14.4
Nick Johnson,SG,0.347,0.238,0.389,0.38,2.6
Tyler Johnson,SG,0.419,0.375,0.437,0.473,5.9
Wesley Johnson,SF,0.414,0.351,0.451,0.48,9.9
Dahntay Jones,SF,0.286,0,0.353,0.286,0.6
James Jones,SF,0.368,0.36,0.423,0.525,4.4
Perry Jones,SF,0.397,0.233,0.476,0.435,4.3
Terrence Jones,PF,0.528,0.351,0.553,0.55,11.7
DeAndre Jordan,C,0.71,0.25,0.713,0.711,11.5
Jerome Jordan,C,0.532,,0.532,0.532,3.1
Cory Joseph,PG,0.504,0.364,0.52,0.523,6.8
Chris Kaman,C,0.515,,0.515,0.515,8.6
Enes Kanter,C,0.519,0.356,0.528,0.528,15.5
Sergey Karasev,SG,0.403,0.296,0.475,0.463,4.6
Ryan Kelly,PF,0.337,0.336,0.337,0.409,6.4
Michael Kidd-Gilchrist,SF,0.465,,0.465,0.465,10.9
Sean Kilpatrick,SG,0.35,0.308,0.429,0.45,5.5
Andrei Kirilenko,SF,0,,0,0,0.4
Alex Kirk,C,0.25,,0.25,0.25,0.8
Brandon Knight,PG-SG,0.422,0.389,0.441,0.493,17
Kyle Korver,SG,0.487,0.492,0.47,0.671,12.1
Kosta Koufos,C,0.508,,0.508,0.508,5.2
Ognjen Kuzmic,C,0.667,,0.667,0.667,1.3
Jeremy Lamb,SG,0.416,0.342,0.475,0.492,6.3
Carl Landry,PF,0.515,,0.515,0.515,7.2
Shane Larkin,PG,0.433,0.302,0.481,0.473,6.2
Joffrey Lauvergne,C,0.404,0.188,0.452,0.421,3.9
Zach LaVine,PG,0.422,0.341,0.449,0.465,10.1
Ty Lawson,PG,0.436,0.341,0.463,0.474,15.2
Ricky Ledo,SG,0.333,0.37,0.319,0.385,5.3
Courtney Lee,SG,0.448,0.402,0.473,0.518,10.1
David Lee,PF,0.511,0,0.514,0.511,7.9
Malcolm Lee,SG,0,,0,0,0
Alex Len,C,0.507,0.333,0.509,0.508,6.3
Kawhi Leonard,SF,0.479,0.349,0.519,0.52,16.5
Meyers Leonard,C,0.51,0.42,0.586,0.606,5.9
Jon Leuer,PF,0.443,0.241,0.467,0.456,4.5
Damian Lillard,PG,0.434,0.343,0.5,0.506,21
Jeremy Lin,PG,0.424,0.369,0.444,0.473,11.2
Shaun Livingston,PG,0.5,0,0.503,0.5,5.9
Brook Lopez,C,0.513,0.1,0.517,0.513,17.2
Robin Lopez,C,0.535,0,0.537,0.535,9.6
Kevin Love,PF,0.434,0.367,0.48,0.509,16.4
Kyle Lowry,PG,0.412,0.338,0.457,0.476,17.8
Kalin Lucas,PG,0,,0,0,0
John Lucas III,PG,0.404,0.31,0.44,0.447,4.7
Shelvin Mack,PG,0.401,0.315,0.467,0.469,5.4
Ian Mahinmi,C,0.552,,0.552,0.552,4.3
Devyn Marble,SG,0.318,0.182,0.455,0.364,2.3
Shawn Marion,SF,0.446,0.261,0.484,0.468,4.8
Kendall Marshall,PG,0.455,0.391,0.509,0.545,4.2
Cartier Martin,SF,0.283,0.182,0.45,0.34,1.6
Kenyon Martin,PF,0.409,,0.409,0.409,1.8
Kevin Martin,SG,0.427,0.393,0.442,0.487,20
Wesley Matthews,SG,0.448,0.389,0.534,0.563,15.9
Jason Maxiell,PF,0.422,,0.422,0.422,3.3
O.J. Mayo,SG,0.422,0.357,0.465,0.493,11.4
Luc Mbah a Moute,PF,0.395,0.307,0.435,0.443,9.9
James Michael McAdoo,PF,0.545,,0.545,0.545,4.1
Ray McCallum,PG,0.438,0.306,0.479,0.474,7.4
CJ McCollum,SG,0.436,0.396,0.46,0.511,6.8
K.J. McDaniels,SG,0.396,0.287,0.454,0.446,7.9
Doug McDermott,SF,0.402,0.317,0.455,0.463,3
Mitch McGary,PF,0.533,0,0.54,0.533,6.3
JaVale McGee,C,0.532,,0.532,0.532,4.6
Ben McLemore,SG,0.437,0.358,0.507,0.521,12.1
Jerel McNeal,PG,0.273,0.5,0.222,0.318,1.5
Josh McRoberts,PF,0.528,0.421,0.588,0.604,4.2
Jodie Meeks,SG,0.416,0.349,0.46,0.485,11.1
Gal Mekel,PG,0.15,0,0.176,0.15,1.5
Khris Middleton,SF,0.467,0.407,0.494,0.53,13.4
C.J. Miles,SG,0.398,0.345,0.459,0.491,13.5
Andre Miller,PG,0.5,0.206,0.539,0.512,4.4
Darius Miller,SF,0.143,0,0.167,0.143,0.4
Mike Miller,SF,0.325,0.327,0.313,0.465,2.1
Quincy Miller,PF,0.237,0.167,0.3,0.276,2.9
Patty Mills,PG,0.381,0.341,0.429,0.473,6.9
Elijah Millsap,SG,0.34,0.311,0.358,0.399,5.3
Paul Millsap,PF,0.476,0.356,0.513,0.518,16.7
Nikola Mirotic,PF,0.405,0.316,0.495,0.485,10.2
Nazr Mohammed,C,0.433,,0.433,0.433,1.2
Greg Monroe,PF,0.496,,0.496,0.496,15.9
E'Twaun Moore,SG,0.446,0.342,0.485,0.493,2.7
Eric Moreland,PF,1,,1,1,0.7
Darius Morris,PG,0.34,0.212,0.397,0.373,2.2
Marcus Morris,PF,0.434,0.358,0.487,0.507,10.4
Markieff Morris,PF,0.465,0.318,0.494,0.491,15.3
Anthony Morrow,SG,0.463,0.434,0.497,0.578,10.7
Donatas Motiejunas,PF,0.504,0.368,0.536,0.539,12
Timofey Mozgov,C,0.555,0.333,0.557,0.557,9.7
Shabazz Muhammad,SG,0.489,0.392,0.503,0.514,13.5
Toure' Murry,SG-PG,0.4,,0.4,0.4,1.2
Mike Muscala,PF,0.55,0.409,0.574,0.579,4.9
Shabazz Napier,PG,0.382,0.364,0.4,0.476,5.1
Gary Neal,SG,0.374,0.305,0.407,0.423,10.1
Jameer Nelson,PG,0.407,0.345,0.472,0.495,8.3
Andrew Nicholson,PF,0.437,0.317,0.47,0.471,4.9
Joakim Noah,C,0.445,0,0.447,0.445,7.2
Nerlens Noel,C,0.462,,0.462,0.462,9.9
Lucas Nogueira,C,0.25,,0.25,0.25,1
Steve Novak,SF-PF,0.393,0.396,0.375,0.563,1.8
Dirk Nowitzki,PF,0.459,0.38,0.486,0.508,17.3
Jusuf Nurkic,C,0.446,0,0.449,0.446,6.9
Johnny O'Bryant,PF,0.367,,0.367,0.367,2.9
Kyle O'Quinn,PF,0.492,0.279,0.538,0.517,5.8
Victor Oladipo,SG,0.436,0.339,0.464,0.474,17.9
Kelly Olynyk,C,0.475,0.349,0.538,0.533,10.3
Arinze Onuaku,C,0.857,,0.857,0.857,4.5
Zaza Pachulia,C,0.454,0,0.456,0.454,8.3
Kostas Papanikolaou,SF,0.35,0.292,0.418,0.429,4.2
Jannero Pargo,PG,0.429,0.409,0.462,0.557,4.6
Jabari Parker,PF,0.49,0.25,0.506,0.498,12.3
Tony Parker,PG,0.486,0.427,0.493,0.508,14.4
Chandler Parsons,SF,0.462,0.38,0.521,0.542,15.7
Patrick Patterson,PF,0.449,0.371,0.536,0.547,8
Chris Paul,PG,0.485,0.398,0.523,0.545,19.1
Adreian Payne,PF,0.414,0.111,0.427,0.416,6.7
Elfrid Payton,PG,0.425,0.262,0.435,0.433,8.9
Nikola Pekovic,C,0.424,,0.424,0.424,12.5
Kendrick Perkins,C,0.449,0,0.451,0.449,3.6
Paul Pierce,SF,0.447,0.389,0.496,0.537,11.9
Mason Plumlee,C,0.573,0,0.576,0.573,8.7
Miles Plumlee,C,0.535,,0.535,0.535,4
Quincy Pondexter,SF-SG,0.421,0.373,0.478,0.522,7.2
Otto Porter,SF,0.45,0.337,0.491,0.495,6
Dwight Powell,PF,0.463,0.273,0.5,0.485,3.1
